cve_ent,Entidad,Pollutant,Cause,crf_type,Reference,attributable_deaths,attrib_fraction_pct,rate_per_100k,population_at_risk
04,Campeche,NO2,Ischemic heart disease,lineal,kasdagli_2024,8,1,1,561015
03,Baja California Sur,NO2,Ischemic heart disease,lineal,kasdagli_2024,5,1,1,527692
23,Quintana Roo,NO2,Ischemic heart disease,lineal,kasdagli_2024,5,1,0,1215708
15,Estado de México,O3,COPD,lineal,gbd_2021,937,34,5,17616018
09,Ciudad de México,O3,COPD,lineal,gbd_2021,702,35,8,9204018
14,Jalisco,O3,COPD,lineal,gbd_2021,499,31,6,8820915
30,Veracruz,O3,COPD,lineal,gbd_2021,359,29,4,8127727
21,Puebla,O3,COPD,lineal,gbd_2021,296,31,4,6989402
11,Guanajuato,O3,COPD,lineal,gbd_2021,280,32,4,6481538
16,Michoacán,O3,COPD,lineal,gbd_2021,222,30,4,4998654
08,Chihuahua,O3,COPD,lineal,gbd_2021,193,31,5,3996504
24,San Luis Potosí,O3,COPD,lineal,gbd_2021,188,31,6,2955841
20,Oaxaca,O3,COPD,lineal,gbd_2021,159,26,4,4308543
19,Nuevo León,O3,COPD,lineal,gbd_2021,156,31,2,6308199
13,Hidalgo,O3,COPD,lineal,gbd_2021,150,32,5,3264395
07,Chiapas,O3,COPD,lineal,gbd_2021,130,24,2,6028154
17,Morelos,O3,COPD,lineal,gbd_2021,128,33,6,2043884
02,Baja California,O3,COPD,lineal,gbd_2021,116,29,3,4071872
26,Sonora,O3,COPD,lineal,gbd_2021,114,28,4,3111704
32,Zacatecas,O3,COPD,lineal,gbd_2021,109,31,6,1698252
28,Tamaulipas,O3,COPD,lineal,gbd_2021,94,28,3,3717618
05,Coahuila,O3,COPD,lineal,gbd_2021,93,31,3,3358991
22,Querétaro,O3,COPD,lineal,gbd_2021,89,32,3,2606698
25,Sinaloa,O3,COPD,lineal,gbd_2021,84,26,3,3165686
10,Durango,O3,COPD,lineal,gbd_2021,81,30,4,1913774
31,Yucatán,O3,COPD,lineal,gbd_2021,78,23,3,2483400
12,Guerrero,O3,COPD,lineal,gbd_2021,73,26,2,3606733
27,Tabasco,O3,COPD,lineal,gbd_2021,63,26,3,2461555
01,Aguascalientes,O3,COPD,lineal,gbd_2021,62,31,4,1530185
29,Tlaxcala,O3,COPD,lineal,gbd_2021,62,33,4,1430497
18,Nayarit,O3,COPD,lineal,gbd_2021,52,26,4,1309432
23,Quintana Roo,O3,COPD,lineal,gbd_2021,37,22,2,2061131
06,Colima,O3,COPD,lineal,gbd_2021,27,26,4,762387
04,Campeche,O3,COPD,lineal,gbd_2021,25,23,3,954659
03,Baja California Sur,O3,COPD,lineal,gbd_2021,19,25,2,886050
15,Estado de México,O3,Respiratory disease,lineal,kasdagli_2024,3530,43,33,10562795
09,Ciudad de México,O3,Respiratory disease,lineal,kasdagli_2024,3144,44,50,6337060
14,Jalisco,O3,Respiratory disease,lineal,kasdagli_2024,2455,39,48,5159420
30,Veracruz,O3,Respiratory disease,lineal,kasdagli_2024,1573,36,32,4933631
19,Nuevo León,O3,Respiratory disease,lineal,kasdagli_2024,1391,39,37,3765863
11,Guanajuato,O3,Respiratory disease,lineal,kasdagli_2024,1167,40,32,3689951
21,Puebla,O3,Respiratory disease,lineal,kasdagli_2024,1131,40,29,3881075
08,Chihuahua,O3,Respiratory disease,lineal,kasdagli_2024,909,40,38,2363199
16,Michoacán,O3,Respiratory disease,lineal,kasdagli_2024,770,38,28,2797877
26,Sonora,O3,Respiratory disease,lineal,kasdagli_2024,687,36,37,1858606
24,San Luis Potosí,O3,Respiratory disease,lineal,kasdagli_2024,626,39,37,1709358
