cvemun,pollutant,tot_pop_mun,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,paf_mean,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper
04003,PM25,257323.9999742676,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0948,1230,116.61159844261209,109.43825670988346,125.62499139997229
04004,PM25,79824.99996807,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0881,423,37.273844993827986,35.04466776415135,40.20354868809485
04004,PM25,79824.99996807,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0881,423,37.273844993827986,35.04466776415135,40.20354868809485
04005,PM25,32472,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0757,194,14.694396593029726,13.640737577349359,15.710186401317804
04005,PM25,32472,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0757,194,14.694396593029726,13.640737577349359,15.710186401317804
04006,PM25,43304.999991339,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.08,204,16.31967373927913,15.214504318314454,17.58848432663226
04006,PM25,43304.999991339,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.08,204,16.31967373927913,15.214504318314454,17.58848432663226
04007,PM25,8589,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.1376,56,7.703468964725065,6.84957277432239,8.560045549525748
04007,PM25,8589,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.1376,56,7.703468964725065,6.84957277432239,8.560045549525748
04008,PM25,11810.000001181,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0769,59,4.538493731382387,4.218955697489408,4.866965067514246
04008,PM25,11810.000001181,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0769,59,4.538493731382387,4.218955697489408,4.866965067514246
04009,PM25,60926.99998172189,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0898,327,29.363109116131238,27.590003663590686,31.700007174328494
04009,PM25,60926.99998172189,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0906,327,29.636947345643584,27.83457782729335,32.03723746735572
04010,PM25,32967.0000032967,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0752,126,9.470902435649494,8.783768532670157,10.105584346382042
04010,PM25,32967.0000032967,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0752,126,9.470902435649494,8.783768532670157,10.105584346382042
04011,PM25,48286.0000048286,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0998,230,22.950216734004727,21.4589821824262,24.78232362297032
04011,PM25,48286.0000048286,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.1006,230,23.14026410725006,21.621503980782432,25.005109423380116
04012,PM25,15973.9999984026,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0813,89,7.2334667318018795,6.754009698494968,7.805653830443784
04012,PM25,15973.9999984026,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0813,89,7.2334667318018795,6.754009698494968,7.805653830443784
05001,PM25,1042,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0671,13,0.8724225773868273,0.7862558818487599,0.9525801430623552
05001,PM25,1042,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0671,13,0.8724225773868273,0.7862558818487599,0.9525801430623552
05002,PM25,175675.000035135,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0682,769,52.42410478795341,47.64415500824625,56.976632700800856
05002,PM25,175675.000035135,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0676,769,52.01801025821076,47.0005559815135,56.66783393866114
05003,PM25,23778.9999976221,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0692,178,12.320697938309324,11.261450794651395,13.328067048084055
05003,PM25,23778.9999976221,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0692,178,12.320697938309324,11.261450794651395,13.328067048084055
05004,PM25,32777.0000032777,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0752,153,11.500381529002956,10.666004646813763,12.27106670632105
05004,PM25,32777.0000032777,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0752,153,11.500381529002956,10.666004646813763,12.27106670632105
05005,PM25,1645,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0729,9,0.6563267450710176,0.6071907963165974,0.6993752034513772
05005,PM25,1645,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0729,9,0.6563267450710176,0.6071907963165974,0.6993752034513772
05006,PM25,30445.9999908662,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0703,145,10.187778735205544,9.361839171858922,10.958994165011125
05006,PM25,30445.9999908662,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0703,145,10.187778735205544,9.361839171858922,10.958994165011125
