cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_erv,ab_erv_mean,ab_erv_lower,ab_erv_upper,paf
04,Campeche,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,567,0.34,0.19,0.48,6e-4
04,Campeche,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2933,3.12,0.5,5.54,0.0011
04,Campeche,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2933,4.09,0.5,7.6,0.0014
04,Campeche,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2933,4.09,0.5,7.6,0.0014
04,Campeche,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,371,11.79,2.67,21.84,0.0318
04,Campeche,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,567,15.68,9.87,21.4,0.0277
04,Campeche,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,370,11.81,2.67,21.87,0.0319
04,Campeche,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,565,15.68,9.87,21.41,0.0278
04,Campeche,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,567,18.16,11.17,25.68,0.032
04,Campeche,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2933,76.78,22.48,131.06,0.0262
04,Campeche,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2933,118.38,28.03,204.16,0.0404
04,Campeche,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2933,100.37,2.83,197.07,0.0342
04,Campeche,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,567,18.23,11.22,25.79,0.0322
04,Campeche,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2933,77.02,22.55,131.46,0.0263
04,Campeche,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2933,118.74,28.12,204.76,0.0405
04,Campeche,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2933,100.68,2.84,197.65,0.0343
05,Coahuila,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,235,0.39,0.22,0.56,0.0017
05,Coahuila,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,427,0.49,0.28,0.7,0.0011
05,Coahuila,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,3670,5.42,0.86,9.62,0.0015
05,Coahuila,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,3670,7.11,0.86,13.21,0.0019
05,Coahuila,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,3670,7.11,0.86,13.21,0.0019
05,Coahuila,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,235,0.39,0.21,0.56,0.0017
05,Coahuila,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,427,0.5,0.28,0.71,0.0012
05,Coahuila,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,3670,5.55,0.88,9.85,0.0015
05,Coahuila,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,3670,7.28,0.88,13.52,0.002
05,Coahuila,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,3670,7.28,0.88,13.52,0.002
05,Coahuila,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,235,10.21,2.32,18.83,0.0434
05,Coahuila,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,427,16.43,10.36,22.39,0.0385
05,Coahuila,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,233,10.2,2.32,18.81,0.0438
05,Coahuila,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,425,16.5,10.41,22.48,0.0388
05,Coahuila,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,427,10.65,6.53,15.12,0.0249
05,Coahuila,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,3670,63.13,18.37,108.43,0.0172
05,Coahuila,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,3670,97.79,22.92,170.32,0.0266
05,Coahuila,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,3670,82.75,2.31,164.27,0.0225
05,Coahuila,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,427,10.65,6.53,15.11,0.0249
05,Coahuila,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,3670,63.12,18.37,108.41,0.0172
05,Coahuila,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,3670,97.78,22.92,170.3,0.0266
05,Coahuila,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,3670,82.74,2.31,164.25,0.0225
06,Colima,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,563,1.16,0.64,1.68,0.0021
06,Colima,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1070,1.57,0.9,2.23,0.0015
06,Colima,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2637,5.66,0.9,10.05,0.0021
06,Colima,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2637,7.43,0.9,13.79,0.0028
06,Colima,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2637,7.43,0.9,13.79,0.0028
06,Colima,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,563,1.15,0.63,1.65,0.002
06,Colima,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1070,1.54,0.89,2.2,0.0014
06,Colima,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2637,5.6,0.89,9.93,0.0021
06,Colima,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2637,7.34,0.89,13.63,0.0028
06,Colima,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2637,7.34,0.89,13.63,0.0028
06,Colima,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,563,20.74,4.7,38.36,0.0368
06,Colima,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1070,35.06,22.09,47.82,0.0328
06,Colima,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,563,20.79,4.71,38.45,0.0369
06,Colima,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1066,34.98,22.04,47.72,0.0328
06,Colima,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,1070,38.24,23.51,54.13,0.0357
06,Colima,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2637,61.34,17.88,105.17,0.0233
06,Colima,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2637,94.89,22.31,164.77,0.036
06,Colima,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2637,80.34,2.25,158.96,0.0305
06,Colima,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,1070,38.2,23.49,54.08,0.0357
06,Colima,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2637,61.34,17.88,105.16,0.0233
06,Colima,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2637,94.88,22.3,164.75,0.036
06,Colima,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2637,80.34,2.25,158.95,0.0305
07,Chiapas,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1211,1.81,1,2.61,0.0015
07,Chiapas,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,2088,2.23,1.28,3.18,0.0011
07,Chiapas,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,14709,23.77,3.79,42.18,0.0016
07,Chiapas,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,14709,31.17,3.79,57.89,0.0021
07,Chiapas,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,14709,31.17,3.79,57.89,0.0021
07,Chiapas,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1211,1.91,1.06,2.76,0.0016
07,Chiapas,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,2088,2.37,1.36,3.38,0.0011
07,Chiapas,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,14709,24.72,3.94,43.86,0.0017
