cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
06,Colima,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1182,117.96,96.78,138.27,0.0998
06,Colima,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,4384,340.54,235.79,442.91,0.0777
06,Colima,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1182,117.91,96.74,138.22,0.0998
07,Chiapas,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,26782,116.92,70.9,161.99,0.0044
07,Chiapas,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,540,1.93,0.97,2.86,0.0036
07,Chiapas,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,8078,34.84,21.13,54.88,0.0043
07,Chiapas,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,5239,22.46,13.62,35.39,0.0043
07,Chiapas,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,26782,119.46,72.44,165.51,0.0045
07,Chiapas,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,540,1.97,1,2.92,0.0036
07,Chiapas,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,8078,35.71,21.65,56.25,0.0044
07,Chiapas,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,5239,23.03,13.96,36.27,0.0044
07,Chiapas,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,540,107.15,57.31,136.79,0.1984
07,Chiapas,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,541,57.42,29.73,91.46,0.1061
07,Chiapas,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1948,330.81,141.74,495.55,0.1698
07,Chiapas,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,540,108.13,57.87,137.99,0.2002
07,Chiapas,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,541,57.98,30.02,92.31,0.1072
07,Chiapas,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1948,333.95,143.17,499.98,0.1714
07,Chiapas,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,26782,2782.44,1935.83,3601.65,0.1039
07,Chiapas,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,8078,1083.26,892.11,1265.15,0.1341
07,Chiapas,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,26782,2799.57,1947.98,3623.39,0.1045
07,Chiapas,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,8078,1089.92,897.67,1272.8,0.1349
08,Chihuahua,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,21185,123.84,75.15,171.44,0.0058
08,Chihuahua,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,617,2.06,1.04,3.05,0.0033
08,Chihuahua,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,6975,39,23.67,61.37,0.0056
