cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_erv,ab_erv_mean,ab_erv_lower,ab_erv_upper,paf
04,Campeche,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,567,0.38,0.22,0.54,7e-4
04,Campeche,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2933,3.49,0.56,6.2,0.0012
04,Campeche,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2933,4.58,0.56,8.5,0.0016
04,Campeche,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2933,4.58,0.56,8.5,0.0016
04,Campeche,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,371,11.79,2.67,21.84,0.0318
04,Campeche,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,567,15.68,9.87,21.4,0.0277
04,Campeche,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,370,11.81,2.67,21.87,0.0319
04,Campeche,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,565,15.68,9.87,21.41,0.0278
04,Campeche,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,567,18.16,11.17,25.68,0.032
04,Campeche,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2933,76.78,22.48,131.06,0.0262
04,Campeche,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2933,118.38,28.03,204.16,0.0404
04,Campeche,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2933,100.37,2.83,197.07,0.0342
04,Campeche,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,567,18.23,11.22,25.79,0.0322
04,Campeche,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2933,77.02,22.55,131.46,0.0263
04,Campeche,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2933,118.74,28.12,204.76,0.0405
04,Campeche,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2933,100.68,2.84,197.65,0.0343
05,Coahuila,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,235,1.1,0.61,1.59,0.0047
05,Coahuila,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,427,1.27,0.73,1.81,0.003
05,Coahuila,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,3670,13.93,2.22,24.68,0.0038
05,Coahuila,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,3670,18.26,2.22,33.83,0.005
05,Coahuila,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,3670,18.26,2.22,33.83,0.005
05,Coahuila,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,235,1.09,0.61,1.58,0.0046
05,Coahuila,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,427,1.27,0.73,1.81,0.003
05,Coahuila,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,3670,14.09,2.25,24.96,0.0038
05,Coahuila,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,3670,18.46,2.25,34.22,0.005
05,Coahuila,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,3670,18.46,2.25,34.22,0.005
05,Coahuila,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,235,10.21,2.32,18.83,0.0434
05,Coahuila,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,427,16.43,10.36,22.39,0.0385
05,Coahuila,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,233,10.2,2.32,18.81,0.0438
05,Coahuila,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,425,16.5,10.41,22.48,0.0388
05,Coahuila,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,427,10.65,6.53,15.12,0.0249
05,Coahuila,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,3670,63.13,18.37,108.43,0.0172
05,Coahuila,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,3670,97.79,22.92,170.32,0.0266
05,Coahuila,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,3670,82.75,2.31,164.27,0.0225
05,Coahuila,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,427,10.65,6.53,15.11,0.0249
05,Coahuila,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,3670,63.12,18.37,108.41,0.0172
05,Coahuila,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,3670,97.78,22.92,170.3,0.0266
05,Coahuila,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,3670,82.74,2.31,164.25,0.0225
06,Colima,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,563,1.4,0.77,2.02,0.0025
06,Colima,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1070,1.93,1.11,2.75,0.0018
06,Colima,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2637,6.62,1.06,11.74,0.0025
06,Colima,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2637,8.68,1.06,16.11,0.0033
06,Colima,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2637,8.68,1.06,16.11,0.0033
06,Colima,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,563,1.38,0.76,1.99,0.0025
06,Colima,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1070,1.91,1.09,2.72,0.0018
06,Colima,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2637,6.55,1.04,11.61,0.0025
06,Colima,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2637,8.58,1.04,15.93,0.0033
