cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
23,Quintana Roo,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,7244,398.17,274.6,519.9,0.055
23,Quintana Roo,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1826,131.06,107.21,154.06,0.0718
23,Quintana Roo,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,7244,398.62,274.92,520.47,0.055
23,Quintana Roo,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,1826,131.2,107.32,154.22,0.0719
24,San Luis Potosí,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,16196,428.16,261.44,589.21,0.0264
24,San Luis Potosí,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,614,12.45,6.33,18.35,0.0203
24,San Luis Potosí,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5782,143.15,87.38,223.33,0.0248
24,San Luis Potosí,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3491,75.85,46.27,118.45,0.0217
24,San Luis Potosí,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,16196,429.87,262.47,591.59,0.0265
24,San Luis Potosí,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,614,12.51,6.37,18.45,0.0204
24,San Luis Potosí,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,5782,143.87,87.82,224.47,0.0249
24,San Luis Potosí,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,3491,76.43,46.62,119.35,0.0219
24,San Luis Potosí,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,614,268.89,155.61,327.12,0.4379
24,San Luis Potosí,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,614,185.71,41.49,293.02,0.3025
24,San Luis Potosí,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1614,618.62,287.52,860.99,0.3833
24,San Luis Potosí,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,614,272.16,157.82,330.71,0.4433
24,San Luis Potosí,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,614,188.25,42.15,296.45,0.3066
