cvemun,pollutant,tot_pop_mun,exp_type,exposure_weigh,crf_id,temporality,cause,health_outcome,icd_10,age_group,crf_mean_10,crf_lower_10,crf_upper_10,interval_ug_m3,beta_mean,beta_lower,beta_upper,reference,crf_type,analysis_type,paf_mean,paf_lower,paf_upper,total_incid,ab_incid_mean,ab_incid_lower,ab_incid_upper
24014,NO2,16441,with_og,2.8080554203533277,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.03397713878145947,0.014134070184596116,0.04586767368429674,2,0.06795427756291894,0.028268140369192233,0.09173534736859348
24014,PM25,16441,no_og,11.651882,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2889518860751164,0.10510984210489759,0.43407157593376894,2,0.5779037721502328,0.21021968420979517,0.8681431518675379
24014,PM25,16441,with_og,11.768394,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2913723969013665,0.10610304634029301,0.43728399599261963,2,0.582744793802733,0.21220609268058602,0.8745679919852393
24015,NO2,23192.9999976807,no_og,0.7789659307184008,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.009543411586843504,0.003941034556467378,0.012940469939870159,3,0.02863023476053051,0.011823103669402132,0.03882140981961048
24015,NO2,23192.9999976807,with_og,0.7726211992584335,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.009466048915908347,0.003908997378685906,0.01283574829133753,3,0.02839814674772504,0.01172699213605772,0.03850724487401259
24015,PM25,23192.9999976807,no_og,5.609101229448931,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.15139491087640555,0.052056563524165995,0.23970554213541562,3,0.45418473262921666,0.156169690572498,0.7191166264062469
24015,PM25,23192.9999976807,with_og,5.622915022888413,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.1517379221841344,0.05218136108040684,0.2402185026462328,3,0.4552137665524032,0.15654408324122054,0.7206555079386984
24016,NO2,41242,no_og,2.805132120811098,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.03394237441322082,0.014119460414979877,0.045821034667686084,11,0.37336611854542906,0.15531406456477864,0.504031381344547
24016,NO2,41242,with_og,3.0703251954706747,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.037091009372212755,0.015443934780196362,0.0500427245922244,11,0.4080011030943403,0.16988328258215998,0.5504699705144683
24016,PM25,41242,no_og,9.894410106370993,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2514215856523821,0.0899937402325718,0.3833299133283788,11,2.765637442176203,0.9899311425582897,4.216629046612167
24016,PM25,41242,with_og,10.017691539700566,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.25411764446698765,0.09106236742518832,0.3870331287177551,11,2.7952940891368643,1.0016860416770714,4.257364415895306
24017,NO2,25459,no_og,1.3066174599511686,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.01595607924597178,0.0066017628041290495,0.021610746715415026,2,0.03191215849194356,0.013203525608258099,0.04322149343083005
24017,NO2,25459,with_og,1.3086115236539797,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.01598023463214094,0.006611804549182423,0.02164336794326156,2,0.03196046926428188,0.013223609098364847,0.04328673588652312
24017,PM25,25459,no_og,7.741224755055866,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.202730190462572,0.07112560360739681,0.3149207613536553,2,0.405460380925144,0.14225120721479362,0.6298415227073106
24017,PM25,25459,with_og,7.756169077692257,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2030788200302372,0.07125789804582161,0.3154207892101108,2,0.4061576400604744,0.14251579609164322,0.6308415784202216
24018,NO2,15583,no_og,2.705420046503513,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.03275583229483599,0.01362099987428487,0.044228838686296776,11,0.3603141552431959,0.14983099861713356,0.4865172255492645
24018,NO2,15583,with_og,2.8080554203533272,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.03397713878145947,0.014134070184596116,0.04586767368429674,11,0.3737485265960542,0.1554747720305573,0.5045444105272642
24018,PM25,15583,no_og,11.651882,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2889518860751164,0.10510984210489759,0.43407157593376894,11,3.1784707468262803,1.1562082631538735,4.7747873352714585
24018,PM25,15583,with_og,11.768394,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2913723969013665,0.10610304634029301,0.43728399599261963,11,3.2050963659150318,1.1671335097432232,4.810123955918816
24019,NO2,5567,no_og,2.319090466347935,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.028144854777223702,0.011687357794924714,0.03803482450550744,5,0.14072427388611852,0.058436788974623566,0.1901741225275372
24019,NO2,5567,with_og,2.3384107833840875,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.0283759707421675,0.011784149090905714,0.038345538127091405,5,0.1418798537108375,0.05892074545452857,0.19172769063545703
24019,PM25,5567,no_og,9.655996,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2461799969170612,0.08792355531585382,0.3761046711289924,5,1.230899984585306,0.4396177765792691,1.8805233556449619
24019,PM25,5567,with_og,9.699083,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.24712998410791562,0.08829803444144822,0.3774166796116781,5,1.2356499205395781,0.4414901722072411,1.8870833980583903
24020,NO2,107362.9999785274,no_og,1.671528853286722,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.02036662792453172,0.008437701405671292,0.0275623183496375,29,0.5906322098114198,0.24469334076446747,0.7993072321394874
24020,NO2,107362.9999785274,with_og,1.6617909528708057,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.020249186655478455,0.008388752270098365,0.027403967897553446,29,0.5872264130088752,0.24327381583285257,0.79471506902905
24020,PM25,107362.9999785274,no_og,5.5810029130923064,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.15069677147659488,0.051802665006615324,0.23866107215851529,29,4.370206372821252,1.5022772851918444,6.921171092596944
24020,PM25,107362.9999785274,with_og,5.599908523872573,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.15116656927602465,0.05197350502311381,0.23936398889780272,29,4.3838305090047145,1.5072316456703005,6.941555678036279
24021,NO2,60920,no_og,3.167841450321908,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.03824623658885144,0.015930520207562946,0.051590414346661,8,0.30596989271081154,0.12744416166050357,0.412723314773288
24021,NO2,60920,with_og,3.1493921056951883,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.038027782609333975,0.01583848033942033,0.051297796568126754,8,0.3042222608746718,0.12670784271536265,0.41038237254501403
24021,PM25,60920,no_og,8.1316185,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.21178766497353968,0.07457538368490825,0.327864034104253,8,1.6943013197883174,0.596603069479266,2.622912272834024
24021,PM25,60920,with_og,8.142187,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.21203142756028387,0.07466859568252723,0.3282110058128763,8,1.696251420482271,0.5973487654602179,2.6256880465030106
24022,NO2,19396.0000019396,no_og,1.4345407920428197,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.017504496989631996,0.007245756049558697,0.023701264603489397,1,0.017504496989631996,0.007245756049558697,0.023701264603489397
24022,NO2,19396.0000019396,with_og,1.4250701344933638,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.01738994521404065,0.007198093059510196,0.02354664872618906,1,0.01738994521404065,0.007198093059510196,0.02354664872618906
24022,PM25,19396.0000019396,no_og,6.822346223205554,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18099848355257742,0.06295493650476106,0.2834635795006708,1,0.18099848355257742,0.06295493650476106,0.2834635795006708
